kappa_lo,lambda_margin
-0.3235,0.011805842621778062
-0.323,0.011890669960704451
-0.3225,0.011975468846589399
-0.322,0.011608667445389353
-0.3215,0.011693550877533954
-0.321,0.011778406689869014
-0.3205,0.011863249607113723
-0.32,0.011497059433533609
-0.3195,0.011581977967118705
-0.319,0.011666884107736256
-0.3185,0.01175175535117559
-0.318,0.011386191652812941
-0.3175,0.01147114593019448
-0.317,0.01155608473973085
-0.3165,0.011641001484212203
-0.316,0.011276047623982152
-0.3155,0.011361040888354792
-0.315,0.011446012482054435
-0.3145,0.011530973685640959
-0.314,0.01116663746268169
-0.3135,0.011251672734377268
-0.313,0.011336682842356375
-0.3125,0.011421676432910947
-0.312,0.011057962256763192
-0.3115,0.011143038790263609
-0.311,0.011228082785418972
-0.3105,0.011313121337191786
-0.31,0.010950018499606499
-0.3095,0.011035121294517768
-0.309,0.011120214547922468
-0.3085,0.011205284626105974
-0.308,0.010842801957708578
-0.3075,0.010927948322333245
-0.307,0.011013074270892083
-0.3065,0.01109818189987405
-0.306,0.01073630645472916
-0.3055,0.01082149224905313
-0.305,0.010906660923767492
-0.3045,0.01099180517093363
-0.304,0.010630554796526484
-0.3035,0.01071577733194288
-0.303,0.010800985334230032
-0.3025,0.010886153612102897
-0.302,0.010525521767640785
-0.3015,0.010610776841574654
-0.301,0.010696031324127768
-0.3005,0.01078123319359627
-0.3,0.010421222345827773
-0.2995,0.010506508452543768
-0.299,0.010591786429037178
-0.2985,0.010677041919503609
-0.298,0.010317645952509646
-0.2975,0.010402971659162001
-0.297,0.010488289046424492
-0.2965,0.01057356910321921
-0.296,0.010214785862908794
-0.2955,0.01030015693858023
-0.295,0.01038550912717054
-0.2945,0.01047083315290886
-0.294,0.010112655141927827
-0.2935,0.01019806178123443
-0.293,0.010283445678469892
-0.2925,0.010368810933408752
-0.292,0.010011250909156428
-0.2915,0.010096689315306365
-0.291,0.010182120841934827
-0.2905,0.010267503486895887
-0.29,0.00991056755154937
-0.2895,0.009996050483878461
-0.289,0.010081506148078814
-0.2885,0.010166938809963196
-0.288,0.009810606097709878
-0.2875,0.009896117868174325
-0.287,0.009981619922615061
-0.2865,0.010067083350470189
-0.286,0.009711374581070376
-0.2855,0.009796915775812117
-0.285,0.0098824439995606
-0.2845,0.009967961241804406
-0.284,0.009612666807047596
-0.2835,0.009698235459474095
-0.283,0.009783810858227444
-0.2825,0.009869340922854445
-0.282,0.009514853927432338
-0.2815,0.009600473012240084
-0.281,0.009686070926167543
-0.2805,0.009771643989023684
-0.28,0.009417771463086049
-0.2795,0.009503422392185362
-0.279,0.00958905968538313
-0.2785,0.009674668361514326
-0.278,0.009321405108939602
-0.2775,0.009407100117544663
-0.277,0.009492770209200517
-0.2765,0.00957841046275875
-0.276,0.0092257666821445
-0.2755,0.009311484198272532
-0.275,0.009397199494711107
-0.2745,0.009482881522410086
-0.274,0.0091308402472478
-0.2735,0.009216604019277732
-0.273,0.009302339880939488
-0.2725,0.009388056788930047
-0.272,0.009036635269325577
-0.2715,0.009122425339065683
-0.271,0.009208195742231605
-0.2705,0.00929395143416721
-0.27,0.008943126209258384
-0.2695,0.009028967634983743
-0.269,0.009114780562397893
-0.2685,0.009200552545941394
-0.268,0.008850358187946147
-0.2675,0.008936219972137569
-0.267,0.009022057432518648
-0.2665,0.009107898727014964
-0.266,0.008758290259437624
-0.2655,0.008844193455278605
-0.265,0.008930074845133727
-0.2645,0.009015925552482564
-0.264,0.00866693595998774
-0.2635,0.008752878263222283
-0.263,0.008838783210679773
-0.2625,0.008924683411467654
-0.262,0.008576289139242044
-0.2615,0.008662271763075617
-0.261,0.008748215425167436
-0.2605,0.008834133769547467
-0.26,0.008486362490862993
-0.2595,0.008572376223784293
-0.259,0.008658347857403579
-0.2585,0.008744311742165911
-0.258,0.008397158303388691
-0.2575,0.008483192710320822
-0.257,0.008569210001831789
-0.2565,0.008655196146640327
-0.256,0.00830865024761117
-0.2555,0.00839472659600428
-0.255,0.008480766440589768
-0.2545,0.008566787075837832
-0.254,0.008220859098660754
-0.2535,0.008306955102241637
-0.253,0.00839304116942779
-0.2525,0.008479093893885877
-0.252,0.0081337644112181
-0.2515,0.008219905946355903
-0.251,0.008306013754248377
-0.2505,0.008392104188983129
-0.25,0.02969872770856827
-0.2495,0.029778895797983252
-0.249,0.02985905774659028
-0.2485,0.02993920313049952
-0.248,0.02958451210306191
-0.2475,0.029664730710935606
-0.247,0.029744927096149038
-0.2465,0.029825100428452475
-0.246,0.029471020908494672
-0.2455,0.029551257718079385
-0.245,0.029631500388254416
-0.2445,0.0297117155419839
-0.244,0.02935822599550034
-0.2435,0.029438514263715083
-0.243,0.02951879864281892
-0.2425,0.029599039271909294
-0.242,0.029246161628492848
-0.2415,0.029326489822835367
-0.241,0.029406795597916837
-0.2405,0.029487081675627035
-0.24,0.02913479621452949
-0.2395,0.029215169466928877
-0.239,0.0292955181529829
-0.2385,0.029375828188285512
-0.238,0.029024150158911785
-0.2375,0.0291045680070074
-0.237,0.029184931401343032
-0.2365,0.02926529133742458
-0.236,0.028914215731475526
-0.2355,0.028994647439394294
-0.235,0.029075066643037197
-0.2345,0.029155462726897074
-0.234,0.028804981030552096
-0.2335,0.028885467592350673
-0.233,0.02896591452776172
-0.2325,0.02904634423493839
-0.232,0.028696470366152416
-0.2315,0.028776979513947438
-0.231,0.02885746361082666
-0.2305,0.028937943824811487
-0.23,0.02858865988098562
-0.2295,0.028669207032249316
-0.229,0.02874973053884472
-0.2285,0.028830231457614208
-0.228,0.02848155932476349
-0.2275,0.02856213952931365
-0.227,0.02864270835692453
-0.2265,0.02872324724205988
-0.226,0.028375160477928863
-0.2255,0.028455784301849866
-0.225,0.028536381141858164
-0.2245,0.028616947493591016
-0.224,0.028269478214224573
-0.2235,0.028350133778779638
-0.223,0.028430755747854624
-0.2225,0.028511364282240884
-0.222,0.028164499708225748
-0.2215,0.02824517721759552
-0.221,0.028325856002798185
-0.2205,0.028406489249211395
-0.22,0.028060221950378824
-0.2195,0.028140945585898677
-0.219,0.028221644967060335
-0.2185,0.028302311851659132
-0.218,0.02795665019029106
-0.2175,0.02803739918510877
-0.217,0.02811814463712105
-0.2165,0.028198855466120398
-0.216,0.027853776453157054
-0.2155,0.02793457230716604
-0.215,0.0280153437073549
-0.2145,0.02809608052954163
-0.214,0.02775161887447825
-0.2135,0.027832443521148713
-0.213,0.027913244748378474
-0.2125,0.027994031611469693
-0.212,0.027650154629875343
-0.2115,0.027731006071099924
-0.211,0.02781185605087942
-0.2105,0.027892664950695714
-0.21,0.027549388492618326
-0.2095,0.027630295278972334
-0.209,0.02771115493134111
-0.2085,0.027792009850999753
-0.208,0.02744933486820641
-0.2075,0.027530251571243173
-0.207,0.02761116507583705
-0.2065,0.027692055836553625
-0.206,0.02734996978874069
-0.2055,0.027430942675951277
-0.205,0.02751187932712103
-0.2045,0.027592798734793988
-0.204,0.02725131438376615
-0.2035,0.027332309270534254
-0.203,0.027413291867796834
-0.2025,0.027494246127139972
-0.202,0.027153350894499335
-0.2015,0.027234386930378808
-0.201,0.027315402673743775
-0.2005,0.027396385551860632
-0.2,0.027056094591810947
-0.1995,0.02713716364229418
-0.199,0.027218201898367208
-0.1985,0.02729922683913252
-0.198,0.026959530316443183
-0.1975,0.027040624055680213
-0.197,0.027121714999719902
-0.1965,0.027202763573961036
-0.196,0.026863660648562444
-0.1955,0.026944798532794197
-0.195,0.027025908667501475
-0.1945,0.027106991560018844
-0.194,0.02676850006859036
-0.1935,0.026849662749835673
-0.193,0.026930815109307896
-0.1925,0.027011929399788512
-0.192,0.026674019802855272
-0.1915,0.02675522521426266
-0.191,0.026836400401546095
-0.1905,0.02691755255528753
-0.19,0.026580245124491326
-0.1895,0.026661481259857515
-0.189,0.026742686974573278
-0.1885,0.026823880307556322
-0.188,0.026487161113670367
-0.1875,0.026568424192309592
-0.187,0.026649666913780262
-0.1865,0.02673089267714719
-0.186,0.026394769268837895
-0.1855,0.026476070891822703
-0.185,0.02655734044966719
-0.1845,0.02663860297257927
-0.184,0.02630306676055044
-0.1835,0.02638440946633514
-0.183,0.026465714078867303
-0.1825,0.026547015504407242
-0.182,0.026212068864981217
-0.1815,0.02629344402806669
-0.181,0.026374782757088867
