kappa,alpha,gap
0.0,0.5,0.99278
0.0,0.5,0.89294
0.0,0.5,0.61283
0.0,0.5,0.56973
0.0,0.5,0.67467
0.0,0.5,0.35154
0.0,0.5,0.29347
0.0,0.5,1.20704
0.0,0.5,0.30924
0.0,0.5,0.82746
0.0,0.5,0.42332
0.0,0.5,1.14886
0.0,0.5,0.5058
0.0,0.5,0.81358
0.0,0.5,0.12068
0.0,0.5,0.66901
0.0,0.5,0.34898
0.0,0.5,0.60247
0.0,0.5,0.39393
0.0,0.5,0.42214
0.0,0.5,0.28821
0.0,0.5,2.28417
0.0,0.5,0.43269
0.0,0.5,0.57089
0.0,0.5,0.55677
0.0,0.5,1.06502
0.0,0.5,0.36156
0.0,0.5,0.63603
0.0,0.5,0.25154
0.0,0.5,0.01907
0.0,0.5,0.60279
0.0,0.5,0.33875
0.0,0.5,2.19694
0.0,0.5,1.2944
0.0,0.5,0.5958
0.0,0.5,0.91514
0.0,0.5,0.02775
0.0,0.5,0.08697
0.0,0.5,1.11368
0.0,0.5,0.19964
0.0,0.5,0.49763
0.0,0.5,0.59969
0.0,0.5,0.09946
0.0,0.5,0.44631
0.0,0.5,0.57366
0.0,0.5,0.84738
0.0,0.5,0.50488
0.0,0.5,1.12785
0.0,0.5,2.13497
0.0,0.5,3.61371
0.0,0.5,1.04841
0.0,0.5,2.29283
0.0,0.5,0.0758
0.0,0.5,0.33945
0.0,0.5,0.24792
0.0,0.5,0.83694
0.0,0.5,0.79366
0.0,0.5,0.09894
0.0,0.5,1.35732
0.0,0.5,0.52961
0.0,0.5,0.86883
0.0,0.5,0.83574
0.0,0.5,0.69246
0.0,0.5,1.20472
0.0,0.5,0.77775
0.0,0.5,0.67816
0.0,0.5,0.77702
0.0,0.5,1.43745
0.0,0.5,0.24325
0.0,0.5,0.13759
0.0,0.5,1.14138
0.0,0.5,0.69945
0.0,0.5,0.32294
0.0,0.5,1.09241
0.0,0.5,1.38143
0.0,0.5,0.51016
0.0,0.5,0.77906
0.0,0.5,2.55988
0.0,0.5,1.26502
0.0,0.5,0.60001
0.0,0.5,0.30463
0.0,0.5,0.08298
0.0,0.5,0.50526
0.0,0.5,0.34217
0.0,0.5,0.65133
0.0,0.5,1.87486
0.0,0.5,1.30125
0.0,0.5,1.29148
0.0,0.5,0.2632
0.0,0.5,1.13827
0.0,0.5,1.04208
0.0,0.5,0.16403
0.0,0.5,0.25136
0.0,0.5,0.23734
0.0,0.5,0.33432
0.0,0.5,0.46541
0.0,0.5,0.56655
0.0,0.5,0.74396
0.0,0.5,0.59174
0.0,0.5,0.77017
0.0,0.5,0.40854
0.0,0.5,1.09851
0.0,0.5,0.86285
0.0,0.5,0.59536
0.0,0.5,0.83723
0.0,0.5,0.2945
0.0,0.5,0.95999
0.0,0.5,0.34288
0.0,0.5,0.07833
0.0,0.5,0.28073
0.0,0.5,0.93884
0.0,0.5,1.00395
0.0,0.5,0.04867
0.0,0.5,0.9224
0.0,0.5,0.679
0.0,0.5,1.61088
0.0,0.5,0.61843
0.0,0.5,1.13534
0.0,0.5,0.0845
0.0,0.5,0.18451
0.0,0.5,0.33899
0.0,0.5,0.1747
0.0,0.5,0.63616
0.0,0.5,0.20771
0.0,0.5,0.90971
0.0,0.5,0.69333
0.0,0.5,1.08663
0.0,0.5,0.23241
0.0,0.5,0.97562
0.0,0.5,0.32737
0.0,0.5,0.47416
0.0,0.5,0.85899
0.0,0.5,0.20287
0.0,0.5,0.17932
0.0,0.5,0.44961
0.0,0.5,0.6018
0.0,0.5,1.39215
0.0,0.5,0.43173
0.0,0.5,0.28825
0.0,0.5,0.11024
0.0,0.5,0.75489
0.0,0.5,2.79011
0.0,0.5,0.29471
0.0,0.5,1.04541
0.0,0.5,1.01433
0.0,0.5,0.91012
0.0,0.5,0.78902
0.0,0.5,0.7686
0.0,0.5,1.18675
0.0,0.5,0.89689
0.0,0.5,2.3597
0.0,0.5,0.92582
0.0,0.5,1.05581
0.0,0.5,0.23846
