kappa,alpha,gap
0.0,0.5,0.43481
0.0,0.5,0.20593
0.0,0.5,0.88917
0.0,0.5,0.61473
0.0,0.5,0.54562
0.0,0.5,0.22578
0.0,0.5,0.00751
0.0,0.5,0.10967
0.0,0.5,0.30642
0.0,0.5,0.373
0.0,0.5,1.45376
0.0,0.5,1.21768
0.0,0.5,0.48237
0.0,0.5,0.15446
0.0,0.5,0.7297
0.0,0.5,0.56432
0.0,0.5,2.05089
0.0,0.5,0.0359
0.0,0.5,0.95555
0.0,0.5,0.45663
0.0,0.5,1.71912
0.0,0.5,0.11094
0.0,0.5,0.20586
0.0,0.5,0.11271
0.0,0.5,0.66115
0.0,0.5,0.34138
0.0,0.5,1.19212
0.0,0.5,1.05249
0.0,0.5,0.49706
0.0,0.5,2.12208
0.0,0.5,0.13123
0.0,0.5,0.0512
0.0,0.5,1.19632
0.0,0.5,0.21806
0.0,0.5,0.54351
0.0,0.5,0.43764
0.0,0.5,0.65324
0.0,0.5,0.59679
0.0,0.5,1.18893
0.0,0.5,0.9469
0.0,0.5,0.82805
0.0,0.5,0.32749
0.0,0.5,1.53036
0.0,0.5,0.12271
0.0,0.5,0.06149
0.0,0.5,0.56387
0.0,0.5,0.81416
0.0,0.5,0.8736
0.0,0.5,0.39349
0.0,0.5,0.36086
0.0,0.5,0.63747
0.0,0.5,0.42683
0.0,0.5,0.8096
0.0,0.5,0.44223
0.0,0.5,1.09107
0.0,0.5,1.69226
0.0,0.5,0.04884
0.0,0.5,0.40111
0.0,0.5,0.50437
0.0,0.5,0.24576
0.0,0.5,0.87277
0.0,0.5,0.74214
0.0,0.5,0.58538
0.0,0.5,1.21989
0.0,0.5,0.36548
0.0,0.5,0.58658
0.0,0.5,0.63594
0.0,0.5,0.02024
0.0,0.5,0.58796
0.0,0.5,1.23589
0.0,0.5,0.08476
0.0,0.5,0.07424
0.0,0.5,1.77499
0.0,0.5,1.34406
0.0,0.5,0.56281
0.0,0.5,0.18695
0.0,0.5,1.88974
0.0,0.5,0.5856
0.0,0.5,1.39659
0.0,0.5,0.55914
0.0,0.5,0.11385
0.0,0.5,0.29436
0.0,0.5,0.0439
0.0,0.5,0.82781
0.0,0.5,0.74586
0.0,0.5,0.42178
0.0,0.5,0.66036
0.0,0.5,0.69861
0.0,0.5,0.82894
0.0,0.5,0.21302
0.0,0.5,0.0931
0.0,0.5,0.07875
0.0,0.5,0.41169
0.0,0.5,0.36707
0.0,0.5,0.55582
0.0,0.5,0.13302
0.0,0.5,1.4393
0.0,0.5,1.31025
0.0,0.5,0.83766
0.0,0.5,0.31123
0.0,0.5,0.34435
0.0,0.5,1.17203
0.0,0.5,0.10437
0.0,0.5,0.85201
0.0,0.5,1.59583
0.0,0.5,1.17936
0.0,0.5,0.08252
0.0,0.5,0.38999
0.0,0.5,0.02985
0.0,0.5,1.68237
0.0,0.5,0.07479
0.0,0.5,0.48002
0.0,0.5,0.22071
0.0,0.5,0.02539
0.0,0.5,0.86758
0.0,0.5,0.66337
0.0,0.5,0.4189
0.0,0.5,0.80921
0.0,0.5,0.54122
0.0,0.5,1.51921
0.0,0.5,0.3768
0.0,0.5,1.41741
0.0,0.5,0.63164
0.0,0.5,0.69267
0.0,0.5,1.87966
0.0,0.5,0.39096
